ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment,gs_description,results_path
KEGG_RIBOSOME,KEGG_RIBOSOME,82,0.830092019379122,3.25253818749292,1e-10,9.1e-09,6.63157894736842e-09,270,tags=76%, list=12%, signal=69%,RPS12/RPL3/RPS25/RPS27/RPS4X/RPS3/RPS27A/RPL32/RPS15A/RPL30/RPS18/RPL5/RPSA/RPS6/RPL14/RPL13/RPS5/RPL34/RPL10/RPS29/RPL36/RPS21/RPL9/RPL35A/RPS3A/RPL10A/RPL21/RPL11/RPL19/RPL4/RPS28/RPS23/RPL37/RPL24/RPL39/RPS8/RPL18/RPL22/RPL17/RPL18A/RPS16/RPLP0/RPL29/RPL23A/RPL6/RPL28/RPS2/RPS10/RPS15/RPS13/RPS7/RPLP2/RPL36A/RPL38/RPL7A/RPS19/RPL31/RPL26/RPL13A/RPL12/RPL41/RPLP1,Ribosome,C2/CP/KEGG
KEGG_LEISHMANIA_INFECTION,KEGG_LEISHMANIA_INFECTION,30,-0.821442578481675,-2.2348458714886,4.10313173025992e-08,1.86692493726826e-06,1.36051210003355e-06,152,tags=67%, list=7%, signal=63%,MYD88/NCF4/TGFB1/PRKCB/IFNGR2/HLA-DMB/PTPN6/NCF1/NCF2/ITGB2/FOS/HLA-DMA/CYBA/HLA-DQB1/HLA-DQA1/HLA-DRB5/HLA-DPB1/HLA-DPA1/HLA-DRB1/HLA-DRA,Leishmania infection,C2/CP/KEGG
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,30,-0.811973340340815,-2.20908352568427,1.22544739645962e-07,3.71719043592751e-06,2.70888371848968e-06,68,tags=50%, list=3%, signal=49%,CIITA/PSME2/CTSB/HLA-DMB/HLA-DMA/IFI30/HLA-DQB1/HLA-DQA1/HLA-DRB5/CTSS/HLA-DPB1/HLA-DPA1/HLA-DRB1/HLA-DRA/CD74,Antigen processing and presentation,C2/CP/KEGG
KEGG_GRAFT_VERSUS_HOST_DISEASE,KEGG_GRAFT_VERSUS_HOST_DISEASE,14,-0.891674091404084,-2.10322625248614,2.79227859365302e-06,5.38543251700941e-05,3.92460669255746e-05,139,tags=64%, list=6%, signal=61%,HLA-DMB/HLA-DMA/HLA-DQB1/HLA-DQA1/HLA-DRB5/HLA-DPB1/HLA-DPA1/HLA-DRB1/HLA-DRA,Graft-versus-host disease,C2/CP/KEGG
KEGG_TYPE_I_DIABETES_MELLITUS,KEGG_TYPE_I_DIABETES_MELLITUS,15,-0.881593194407664,-2.11009111059175,3.05374736093949e-06,5.38543251700941e-05,3.92460669255746e-05,139,tags=60%, list=6%, signal=57%,HLA-DMB/HLA-DMA/HLA-DQB1/HLA-DQA1/HLA-DRB5/HLA-DPB1/HLA-DPA1/HLA-DRB1/HLA-DRA,Type I diabetes mellitus,C2/CP/KEGG
KEGG_ASTHMA,KEGG_ASTHMA,11,-0.915349192381834,-2.04864355595717,3.55083462659961e-06,5.38543251700941e-05,3.92460669255746e-05,139,tags=91%, list=6%, signal=86%,HLA-DMB/HLA-DMA/HLA-DQB1/HLA-DQA1/HLA-DRB5/HLA-DPB1/FCER1G/HLA-DPA1/HLA-DRB1/HLA-DRA,Asthma,C2/CP/KEGG
KEGG_VIRAL_MYOCARDITIS,KEGG_VIRAL_MYOCARDITIS,26,-0.792496385495297,-2.0832544957083,5.59229226759897e-06,7.26997994787866e-05,5.29796109562008e-05,176,tags=46%, list=8%, signal=43%,ACTB/HLA-DMB/RAC1/ITGB2/HLA-DMA/HLA-DQB1/HLA-DQA1/HLA-DRB5/HLA-DPB1/HLA-DPA1/HLA-DRB1/HLA-DRA,Viral myocarditis,C2/CP/KEGG
KEGG_LYSOSOME,KEGG_LYSOSOME,37,-0.723385011402618,-2.03772159716103,1.35377787085769e-05,0.000153992232810062,0.000112221060347413,418,tags=65%, list=18%, signal=54%,HEXB/LAPTM5/TPP1/CLTA/MAN2B1/CTSD/PPT1/TCIRG1/CTSC/CTSB/ATP6V0D1/SLC11A1/CD63/ASAH1/ATP6V0C/ATP6V0B/CTSH/AP1S2/CTSW/NPC2/CD68/CTSZ/CTSS/PSAP,Lysosome,C2/CP/KEGG
KEGG_ALLOGRAFT_REJECTION,KEGG_ALLOGRAFT_REJECTION,15,-0.862663508439323,-2.06478295447001,1.82308412867143e-05,0.0001659006557091,0.00012089926326979,139,tags=60%, list=6%, signal=57%,HLA-DMB/HLA-DMA/HLA-DQB1/HLA-DQA1/HLA-DRB5/HLA-DPB1/HLA-DPA1/HLA-DRB1/HLA-DRA,Allograft rejection,C2/CP/KEGG
KEGG_AUTOIMMUNE_THYROID_DISEASE,KEGG_AUTOIMMUNE_THYROID_DISEASE,15,-0.862663508439323,-2.06478295447001,1.82308412867143e-05,0.0001659006557091,0.00012089926326979,139,tags=60%, list=6%, signal=57%,HLA-DMB/HLA-DMA/HLA-DQB1/HLA-DQA1/HLA-DRB5/HLA-DPB1/HLA-DPA1/HLA-DRB1/HLA-DRA,Autoimmune thyroid disease,C2/CP/KEGG
