ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment,gs_description,results_path
HP_ABNORMAL_NUMBER_OF_ERYTHROID_PRECURSORS,HP_ABNORMAL_NUMBER_OF_ERYTHROID_PRECURSORS,22,0.768527707367608,2.31549505505684,1.74979605065728e-06,0.000744268935820742,0.000628042885490084,254,tags=64%, list=11%, signal=57%,RPS27/RPS15A/RPL5/RPS14/RPS29/RPL35A/RPL11/RPS28/RPL18/RPS10/RPS7/RPS19/RPL31/RPL26,Abnormal number of erythroid precursors,C5/HPO
HP_HORSESHOE_KIDNEY,HP_HORSESHOE_KIDNEY,26,0.735561356628988,2.29169140472934,2.84658590448187e-06,0.000744268935820742,0.000628042885490084,254,tags=54%, list=11%, signal=48%,RPS27/RPS15A/RPL5/RPS29/RPL35A/RPL11/RPS28/RPL18/CD96/RPS10/RPS7/RPS19/RPL31/RPL26,Horseshoe kidney,C5/HPO
HP_ERYTHROID_HYPOPLASIA,HP_ERYTHROID_HYPOPLASIA,21,0.774447178662336,2.31083808504241,2.99892447729054e-06,0.000744268935820742,0.000628042885490084,254,tags=67%, list=11%, signal=60%,RPS27/RPS15A/RPL5/RPS14/RPS29/RPL35A/RPL11/RPS28/RPL18/RPS10/RPS7/RPS19/RPL31/RPL26,Erythroid hypoplasia,C5/HPO
HP_ABNORMALITY_OF_THE_THENAR_EMINENCE,HP_ABNORMALITY_OF_THE_THENAR_EMINENCE,20,0.764300452505651,2.27035114410986,6.12796279493126e-06,0.000744268935820742,0.000628042885490084,254,tags=65%, list=11%, signal=58%,RPS27/RPS15A/RPL5/RPS29/RPL35A/RPL11/RPS28/RPL18/RPS10/RPS7/RPS19/RPL31/RPL26,Abnormality of the thenar eminence,C5/HPO
HP_ABSENT_THUMB,HP_ABSENT_THUMB,20,0.764300452505651,2.27035114410986,6.12796279493126e-06,0.000744268935820742,0.000628042885490084,254,tags=65%, list=11%, signal=58%,RPS27/RPS15A/RPL5/RPS29/RPL35A/RPL11/RPS28/RPL18/RPS10/RPS7/RPS19/RPL31/RPL26,Absent thumb,C5/HPO
HP_ADENOCARCINOMA_OF_THE_LARGE_INTESTINE,HP_ADENOCARCINOMA_OF_THE_LARGE_INTESTINE,20,0.764300452505651,2.27035114410986,6.12796279493126e-06,0.000744268935820742,0.000628042885490084,254,tags=65%, list=11%, signal=58%,RPS27/RPS15A/RPL5/RPS29/RPL35A/RPL11/RPS28/RPL18/RPS10/RPS7/RPS19/RPL31/RPL26,Adenocarcinoma of the large intestine,C5/HPO
HP_APLASIA_OF_THE_FINGERS,HP_APLASIA_OF_THE_FINGERS,20,0.764300452505651,2.27035114410986,6.12796279493126e-06,0.000744268935820742,0.000628042885490084,254,tags=65%, list=11%, signal=58%,RPS27/RPS15A/RPL5/RPS29/RPL35A/RPL11/RPS28/RPL18/RPS10/RPS7/RPS19/RPL31/RPL26,Aplasia of the fingers,C5/HPO
HP_ELEVATED_RED_CELL_ADENOSINE_DEAMINASE_LEVEL,HP_ELEVATED_RED_CELL_ADENOSINE_DEAMINASE_LEVEL,20,0.764300452505651,2.27035114410986,6.12796279493126e-06,0.000744268935820742,0.000628042885490084,254,tags=65%, list=11%, signal=58%,RPS27/RPS15A/RPL5/RPS29/RPL35A/RPL11/RPS28/RPL18/RPS10/RPS7/RPS19/RPL31/RPL26,Elevated red cell adenosine deaminase level,C5/HPO
HP_MALIGNANT_GENITOURINARY_TRACT_TUMOR,HP_MALIGNANT_GENITOURINARY_TRACT_TUMOR,20,0.764300452505651,2.27035114410986,6.12796279493126e-06,0.000744268935820742,0.000628042885490084,254,tags=65%, list=11%, signal=58%,RPS27/RPS15A/RPL5/RPS29/RPL35A/RPL11/RPS28/RPL18/RPS10/RPS7/RPS19/RPL31/RPL26,Malignant genitourinary tract tumor,C5/HPO
HP_PARTIAL_DUPLICATION_OF_THE_PHALANX_OF_HAND,HP_PARTIAL_DUPLICATION_OF_THE_PHALANX_OF_HAND,20,0.764300452505651,2.27035114410986,6.12796279493126e-06,0.000744268935820742,0.000628042885490084,254,tags=65%, list=11%, signal=58%,RPS27/RPS15A/RPL5/RPS29/RPL35A/RPL11/RPS28/RPL18/RPS10/RPS7/RPS19/RPL31/RPL26,Partial duplication of the phalanx of hand,C5/HPO
HP_PURE_RED_CELL_APLASIA,HP_PURE_RED_CELL_APLASIA,20,0.764300452505651,2.27035114410986,6.12796279493126e-06,0.000744268935820742,0.000628042885490084,254,tags=65%, list=11%, signal=58%,RPS27/RPS15A/RPL5/RPS29/RPL35A/RPL11/RPS28/RPL18/RPS10/RPS7/RPS19/RPL31/RPL26,Pure red cell aplasia,C5/HPO
HP_ABNORMAL_MEAN_CORPUSCULAR_VOLUME,HP_ABNORMAL_MEAN_CORPUSCULAR_VOLUME,22,0.745649695907499,2.24656595608282,7.45315425001572e-06,0.000765954929078539,0.000646342364515533,254,tags=59%, list=11%, signal=53%,RPS27/RPS15A/RPL5/RPS29/RPL35A/RPL11/RPS28/RPL18/RPS10/RPS7/RPS19/RPL31/RPL26,Abnormal mean corpuscular volume,C5/HPO
HP_INCREASED_MEAN_CORPUSCULAR_VOLUME,HP_INCREASED_MEAN_CORPUSCULAR_VOLUME,22,0.745649695907499,2.24656595608282,7.45315425001572e-06,0.000765954929078539,0.000646342364515533,254,tags=59%, list=11%, signal=53%,RPS27/RPS15A/RPL5/RPS29/RPL35A/RPL11/RPS28/RPL18/RPS10/RPS7/RPS19/RPL31/RPL26,Increased mean corpuscular volume,C5/HPO
HP_ADENOCARCINOMA_OF_THE_INTESTINES,HP_ADENOCARCINOMA_OF_THE_INTESTINES,21,0.753087581349871,2.24710414383796,1.09515009791283e-05,0.00104508609343682,0.000881884026214018,254,tags=62%, list=11%, signal=56%,RPS27/RPS15A/RPL5/RPS29/RPL35A/RPL11/RPS28/RPL18/RPS10/RPS7/RPS19/RPL31/RPL26,Adenocarcinoma of the intestines,C5/HPO
HP_PERSISTENCE_OF_HEMOGLOBIN_F,HP_PERSISTENCE_OF_HEMOGLOBIN_F,21,0.748088555850461,2.23218777661446,1.50218785148406e-05,0.00125432685598919,0.00105844946640752,254,tags=62%, list=11%, signal=56%,RPS27/RPS15A/RPL5/RPS29/RPL35A/RPL11/RPS28/RPL18/RPS10/RPS7/RPS19/RPL31/RPL26,Persistence of hemoglobin F,C5/HPO
HP_RETICULOCYTOPENIA,HP_RETICULOCYTOPENIA,21,0.748088555850461,2.23218777661446,1.50218785148406e-05,0.00125432685598919,0.00105844946640752,254,tags=62%, list=11%, signal=56%,RPS27/RPS15A/RPL5/RPS29/RPL35A/RPL11/RPS28/RPL18/RPS10/RPS7/RPS19/RPL31/RPL26,Reticulocytopenia,C5/HPO
HP_ABNORMAL_RETICULOCYTE_MORPHOLOGY,HP_ABNORMAL_RETICULOCYTE_MORPHOLOGY,27,0.692280272074113,2.1906352370459,2.00468861913078e-05,0.0014891445624085,0.00125659772009101,254,tags=59%, list=11%, signal=53%,RPS27/RPS15A/RPL5/RPS29/RPL35A/RPL11/GYPC/RPS28/RPL18/EPB41/RPS10/RPS7/RASGRP1/RPS19/RPL31/RPL26,Abnormal reticulocyte morphology,C5/HPO
