terms	cellType	value
ABBUD_LIF_SIGNALING_1_DN	0	-0.149348956181816
ABBUD_LIF_SIGNALING_1_DN	1	-0.479529960287969
ABBUD_LIF_SIGNALING_1_DN	2	-0.0951929927796762
ABBUD_LIF_SIGNALING_1_DN	3	-0.231791240933157
ABBUD_LIF_SIGNALING_1_DN	4	-0.329375288975322
ABBUD_LIF_SIGNALING_1_DN	5	-0.421195624434909
ABBUD_LIF_SIGNALING_1_DN	6	-0.38142309136192
ABBUD_LIF_SIGNALING_1_DN	7	0.110366795026555
ABBUD_LIF_SIGNALING_1_DN	8	0.00769392156244017
ABBUD_LIF_SIGNALING_1_DN	9	-0.0793382394801316
ABBUD_LIF_SIGNALING_1_DN	10	0.0794820859255913
ABBUD_LIF_SIGNALING_1_DN	11	0.135410032252558
ABBUD_LIF_SIGNALING_1_UP	0	-0.362584959980612
ABBUD_LIF_SIGNALING_1_UP	1	-0.157585186608212
ABBUD_LIF_SIGNALING_1_UP	2	0.303345210564066
ABBUD_LIF_SIGNALING_1_UP	3	-0.577493783348579
ABBUD_LIF_SIGNALING_1_UP	4	-0.0771480733068277
ABBUD_LIF_SIGNALING_1_UP	5	-0.270691685467299
ABBUD_LIF_SIGNALING_1_UP	6	-0.400833705053128
ABBUD_LIF_SIGNALING_1_UP	7	0.0172958562306244
ABBUD_LIF_SIGNALING_1_UP	8	-0.165960207967685
ABBUD_LIF_SIGNALING_1_UP	9	-0.182726007442802
ABBUD_LIF_SIGNALING_1_UP	10	-0.182974534064408
ABBUD_LIF_SIGNALING_1_UP	11	-0.286234250478509
ABBUD_LIF_SIGNALING_2_DN	0	-0.355455314350266
ABBUD_LIF_SIGNALING_2_DN	1	-0.726455121698759
ABBUD_LIF_SIGNALING_2_DN	2	-0.328751525278677
ABBUD_LIF_SIGNALING_2_DN	3	-0.12844657457015
ABBUD_LIF_SIGNALING_2_DN	4	-0.642535396190125
ABBUD_LIF_SIGNALING_2_DN	5	-0.425429940795163
ABBUD_LIF_SIGNALING_2_DN	6	-0.556778010623993
ABBUD_LIF_SIGNALING_2_DN	7	-0.358182890022673
ABBUD_LIF_SIGNALING_2_DN	8	-0.56886672945027
ABBUD_LIF_SIGNALING_2_DN	9	-0.329361470313991
ABBUD_LIF_SIGNALING_2_DN	10	-0.240484916831227
ABBUD_LIF_SIGNALING_2_DN	11	0.224637452608913
ABBUD_LIF_SIGNALING_2_UP	0	0.0763156410401232
ABBUD_LIF_SIGNALING_2_UP	1	0.399260652430229
ABBUD_LIF_SIGNALING_2_UP	2	-0.201796840569644
ABBUD_LIF_SIGNALING_2_UP	3	-0.30225175744118
ABBUD_LIF_SIGNALING_2_UP	4	-0.0443538801646209
ABBUD_LIF_SIGNALING_2_UP	5	-0.080947546258596
ABBUD_LIF_SIGNALING_2_UP	6	-0.234677188130604
ABBUD_LIF_SIGNALING_2_UP	7	-0.187162206856139
ABBUD_LIF_SIGNALING_2_UP	8	0.644556704290686
ABBUD_LIF_SIGNALING_2_UP	9	0.655593425519001
ABBUD_LIF_SIGNALING_2_UP	10	0.19542568251092
ABBUD_LIF_SIGNALING_2_UP	11	-0.00394833323930327
ABDELMOHSEN_ELAVL4_TARGETS	0	-0.101105685004293
ABDELMOHSEN_ELAVL4_TARGETS	1	-0.326523721935933
ABDELMOHSEN_ELAVL4_TARGETS	2	0.265845820476114
ABDELMOHSEN_ELAVL4_TARGETS	3	-0.366931684827117
ABDELMOHSEN_ELAVL4_TARGETS	4	0.0362554884164961
ABDELMOHSEN_ELAVL4_TARGETS	5	-0.167676611421789
ABDELMOHSEN_ELAVL4_TARGETS	6	0.18393940921125
ABDELMOHSEN_ELAVL4_TARGETS	7	0.0445929166954104
ABDELMOHSEN_ELAVL4_TARGETS	8	0.245199141002779
ABDELMOHSEN_ELAVL4_TARGETS	9	0.314099496771761
ABDELMOHSEN_ELAVL4_TARGETS	10	-0.122907177254318
ABDELMOHSEN_ELAVL4_TARGETS	11	0.0542496732452746
ABDULRAHMAN_KIDNEY_CANCER_VHL_DN	0	-0.393284665580379
ABDULRAHMAN_KIDNEY_CANCER_VHL_DN	1	0.283250756073987
ABDULRAHMAN_KIDNEY_CANCER_VHL_DN	2	0.0706791495642394
ABDULRAHMAN_KIDNEY_CANCER_VHL_DN	3	-0.448876380997349
ABDULRAHMAN_KIDNEY_CANCER_VHL_DN	4	-0.000663804965652159
ABDULRAHMAN_KIDNEY_CANCER_VHL_DN	5	0.0464765237734361
ABDULRAHMAN_KIDNEY_CANCER_VHL_DN	6	-0.35618921475463
ABDULRAHMAN_KIDNEY_CANCER_VHL_DN	7	0.0874635172317835
ABDULRAHMAN_KIDNEY_CANCER_VHL_DN	8	0.142847588436447
ABDULRAHMAN_KIDNEY_CANCER_VHL_DN	9	0.367922421628955
ABDULRAHMAN_KIDNEY_CANCER_VHL_DN	10	0.20546234469012
ABDULRAHMAN_KIDNEY_CANCER_VHL_DN	11	0.397032992819342
ABE_INNER_EAR	0	0.197326288309988
ABE_INNER_EAR	1	-0.0507988047843256
ABE_INNER_EAR	2	-0.0704901932100833
ABE_INNER_EAR	3	0.233682450079889
ABE_INNER_EAR	4	0.297546351436871
ABE_INNER_EAR	5	-0.275025275069283
ABE_INNER_EAR	6	-0.0311642298197245
ABE_INNER_EAR	7	-0.379772904623946
ABE_INNER_EAR	8	0.483724089304491
ABE_INNER_EAR	9	0.554898972974231
ABE_INNER_EAR	10	-0.0874467465989979
ABE_INNER_EAR	11	0.303196180161464
ABE_VEGFA_TARGETS	0	-0.454267132022269
ABE_VEGFA_TARGETS	1	0.134787853866288
ABE_VEGFA_TARGETS	2	0.364374022866184
ABE_VEGFA_TARGETS	3	0.110111124805606
ABE_VEGFA_TARGETS	4	0.503767269608662
ABE_VEGFA_TARGETS	5	-0.186480049388913
ABE_VEGFA_TARGETS	6	-0.217031632876146
ABE_VEGFA_TARGETS	7	-0.0744793343184423
ABE_VEGFA_TARGETS	8	0.230679212550894
ABE_VEGFA_TARGETS	9	0.141657115652992
ABE_VEGFA_TARGETS	10	0.302551708485689
ABE_VEGFA_TARGETS	11	-0.176774739234139
ABE_VEGFA_TARGETS_2HR	0	-0.425330503903475
ABE_VEGFA_TARGETS_2HR	1	-0.113902923833246
ABE_VEGFA_TARGETS_2HR	2	-0.0440641600441627
ABE_VEGFA_TARGETS_2HR	3	-0.522178363246919
ABE_VEGFA_TARGETS_2HR	4	-0.136554693775062
ABE_VEGFA_TARGETS_2HR	5	-0.157824134742795
ABE_VEGFA_TARGETS_2HR	6	-0.290326219173836
ABE_VEGFA_TARGETS_2HR	7	-0.0357049173881956
ABE_VEGFA_TARGETS_2HR	8	-0.0977833034985396
ABE_VEGFA_TARGETS_2HR	9	0.115984830036458
ABE_VEGFA_TARGETS_2HR	10	-0.182587989146425
ABE_VEGFA_TARGETS_2HR	11	-0.36894088793259
ABE_VEGFA_TARGETS_30MIN	0	-0.384027430710383
ABE_VEGFA_TARGETS_30MIN	1	-0.354306809380393
ABE_VEGFA_TARGETS_30MIN	2	-0.154167005943159
ABE_VEGFA_TARGETS_30MIN	3	-0.237473716040255
ABE_VEGFA_TARGETS_30MIN	4	-0.126760305111764
ABE_VEGFA_TARGETS_30MIN	5	0.126402731545707
ABE_VEGFA_TARGETS_30MIN	6	-0.432562410182462
ABE_VEGFA_TARGETS_30MIN	7	-0.031671937935656
ABE_VEGFA_TARGETS_30MIN	8	0.150888163166789
ABE_VEGFA_TARGETS_30MIN	9	0.217933058046964
ABE_VEGFA_TARGETS_30MIN	10	-0.214580351262424
ABE_VEGFA_TARGETS_30MIN	11	-0.157474067134287
ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_DN	0	-0.329378200981147
ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_DN	1	-0.513233764236484
ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_DN	2	-0.110543628175037
ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_DN	3	-0.328911536503265
ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_DN	4	-0.310249463822136
ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_DN	5	-0.198738210811234
ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_DN	6	0.191810547863676
ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_DN	7	0.173799681806867
ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_DN	8	0.215788428668829
ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_DN	9	-0.124625058632132
ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_DN	10	-0.0569736431839167
ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_DN	11	0.466660357181009
ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_UP	0	-0.087362943731884
