xxx	B cells	Monocytes	NK cells	T cells, CD4+	T cells, CD8+
DDX11L1	0.00103503842366467	0.000363234716934583	0.00356798386981706	0.000210573753487628	0.000477698590063677
WASH7P	0.0437012598817317	0.0529977052492653	0.0505840111711931	0.0489380977501977	0.0470230076696232
AL627309.6	0.00162904629265052	0.110559411558612	0.00343991158356811	0.00152443337464026	0.00334389013044574
AL627309.7	0	0.00127132150927104	0	0	0
AL627309.5	0.00561115945246291	0.0551868607662907	0.00527891958902432	0.00645759510695394	0.00859857462114618
WASH9P	0.0166014807756585	0.058031826376202	0.0151765659205007	0.0134767202232082	0.0180179700490793
AP006222.1	0.00181005143627836	0.00499447735785051	0.00121668671936503	0.00203554628371374	0.000477698590063677
AL732372.2	0.00271507715441754	0.0220946316818008	0.00243337343873006	0.00329898880463951	0.00334389013044574
AL732372.3	0.000724020574511343	0.00181617358467292	0.000128072286248951	0.000280765004650171	0
MTND1P23	0.00162904629265052	0.00626579886712155	0.00192108429373426	0.00203554628371374	0.00334389013044574
MTND2P28	0.0316774274635929	0.0929127016843694	0.0286613169460779	0.0256830560186858	0.0218395587695887
MTCO1P12	1.45958860784935e+35	1.04166226540189e+50	1.41187918878799e+61	1.11433918252096e+72	2.08466561950285e+30
MTCO2P12	0.00434412344706806	0.00499447735785051	0.00365006015809509	0.00322879755347697	0.00382158872050941
MTATP6P1	0.710987710950997	1.04100822346176	0.638540523243789	0.58259520605201	0.799601991514759
MTCO3P12	0.000905025718139179	0.000454043396168229	0.000448253001871327	0.000491338758137799	0.000955397180127353
AL669831.1	0.0494984876983617	0.0825747445460231	0.031699682116789	0.036521188201233	0.0468884312962827
AL669831.5	0.00918026988691728	0.00944410264029916	0.00713596773963409	0.00533453508835325	0.00668778026089148
AL669831.4	0.0204025887918431	0.0158799977248267	0.0155066623437868	0.0312874873133337	0.0430668425757733
FAM87B	0.00356911043445437	0.00245183433930844	0.0026714778660744	0.00350956255812714	0.00334389013044574
LINC01128	0.0500415031292453	0.0364150466199997	0.058962119621792	0.111033786970316	0.170221999569497
LINC00115	0.0357370335621069	0.0298389518717345	0.0235000135960736	0.0289998555284857	0.0291396139938843
NOC2L	0.41547281104599	0.467846044724414	2.90654885230586	0.413451714136827	0.476568749509953
KLHL17	0.0394361567020868	0.0378301156442953	0.0555315834063225	0.0572799878401844	0.0356928178814353
PLEKHN1	0.000724020574511343	0.00771873773485988	0.00408027301481286	0.00884409764648039	0.00143309577019103
HES4	0.00271507715441754	14.0814386695207	0.0591380804545446	0.00911458612939085	0.00191079436025471
ISG15	1.26034162127613	980398524.95535	8000592131.86573	8145955.24141671	0.627364393243743
AL645608.1	0.00325809258530105	0.00163455622620562	0.00461060230496222	0.00322879755347697	0.00334389013044574
AGRN	0.0045251285906959	0.0244654045572935	0.00659572274182094	0.00280765004650171	0.0161071756888246
C1orf159	0.044685305867294	0.0457074284554998	0.0606613483631614	0.0531693469708857	0.102254223407116
TNFRSF18	0.0765312269244898	0.0203617167082599	0.934017080005367	0.453577776131544	0.00286619154038206
TNFRSF4	0.0355025319515501	0.0414587809782487	12.7619044593922	2961380.15998548	0.0243201877640866
SDF4	0.833097385488538	1.19284133191348	482.023309136483	0.769850795405307	0.72887817641574
B3GALT6	0.203145990030065	0.177214928087106	0.16426021848378	0.16861079273522	0.221631626586479
C1QTNF12	0.00181005143627836	0.00272426037700937	0.00113461043108699	0.00105286876743814	0.00334389013044574
UBE2J2	0.402590367122684	0.551302424204654	0.435515530283729	0.41221761559834	0.440016612508964
SCNN1D	0.00416311830344022	0.00757676414547873	0.00320180715622377	0.00456243132556528	0.0113301897881878
ACAP3	0.165383210477173	0.210200720934337	0.105589466681551	0.107377172679994	0.121227590636322
PUSL1	0.0700734825214756	0.110852994612899	0.0851132890092586	0.0778588566749407	0.0965084777596071
INTS11	0.541678400320674	0.667407835608783	0.734603788371319	0.599073405205921	0.645858135016409
CPTP	0.17604662112607	0.0857360940613156	0.154520427267752	0.197922461878331	0.146263100596271
TAS1R3	0.0309326727725501	0.00127132150927104	0.00265343772092084	0.000701912511625427	0.000955397180127353
DVL1	0.0606188217270829	0.0572286095771115	0.0619761114800338	0.0785429584814059	0.0775351105304004
MXRA8	0.00302609500357087	0.00282481627166095	0.00459131122919989	0.0231284838919021	0.717590066766753
AURKAIP1	1.08989911504258	4.60579650218813	1408184.60132318	1.25515121019332	1.2453660654409
CCNL2	0.722579607392546	0.72582014064233	0.600557665614536	0.837341418647643	0.952023162996497
MRPL20-AS1	0.166318050658575	0.110079019460062	0.134168483703462	0.156163746452573	0.189747034858809
MRPL20	1.00578016169557	3.0853247408742	18217.1762689883	1.29748895895286	1.58453641296203
ATAD3C	0.00687819545785776	0.00212824339146	0.00742006816494934	0.00892515769599843	0.0138532591118466
ATAD3B	0.0900206752622147	0.0799870246415714	0.0959840113440397	0.102128403425253	0.133333212644361
AL645728.2	0.00235306686716187	0.00172536490543927	0.00192108429373426	0.00136427672137949	0.000477698590063677
ATAD3A	0.0772432671115226	0.0931708846174128	6.58945017089132	0.0769887471110253	0.0912537932689066
SSU72	1.9269015093934	8.20539191791404	12.0358227207775	2.62645083603106	3.09647530945289
AL645728.1	0.0333890299154843	0.0471452983308899	0.0294292103240063	0.0308880774030694	0.0402746205054336
FNDC10	0.0150234269211103	0.086450387446709	0.0304487063772909	0.0380264397015534	0.0368567609049455
AL691432.2	0.0398491594274448	0.0446036629906837	0.0285159151057189	0.0411524396088011	0.0446345147193048
MIB2	0.193190929059687	0.160361522890923	0.540424315154277	0.386386096804747	0.361516773071711
MMP23B	0.015590934289497	0.0106015731882138	0.206017302747652	0.02179385770123	0.0146740799186336
CDK11B	0.376337959715091	0.46813434079558	0.503408442006022	0.413689230369412	0.41219662281793
FO704657.1	0.00289608229804537	0.00299668641471031	0.00147283129186293	0.00119325126976323	0.000955397180127353
SLC35E2B	0.373500163567937	0.282223824977966	0.324812281218743	0.419045629061032	0.38474748416164
AL691432.1	0.00307708744167321	0.00363234716934583	0.00384216858746852	0.00505377008370308	0.00286619154038206
MMP23A	0.000362010287255672	0.000726469433869166	0.00115265057624056	0.000350956255812713	0
CDK11A	0.313660560252583	0.310353660660307	0.339875392669189	0.350894103150611	0.367231265866399
AL031282.2	0.0077322287378946	0.00989814603646739	0.00665975888494542	0.00692915971415605	0.00989709401799678
AL031282.1	0.00886925203776395	0.00871763320642998	0.00822458217275017	0.00729989012090445	0.00764317744101883
SLC35E2A	0.128533904857919	0.0858921289647092	0.108342231730588	0.159546870296143	0.173816378993176
NADK	0.455324563321377	1.96002584182344	0.408657231111708	0.175742646332912	0.177855845283792
GNB1	2.71854993810671	91.8317153197526	41.1762108647038	2.97977213722044	1.95618145105547
PRKCZ	0.107142206859975	0.0248329533728225	0.0890446492854894	0.117394474768367	0.103673956610562
AL590822.2	0.000543015430883507	0.00127132150927104	0.000128072286248951	0.000561530009300342	0.00238849295031838
FAAP20	1.10708348215254	2.323959196365	0.984894424845548	0.927131189622642	1.39670989176694
SKI	0.0643409094758443	0.110647327293973	0.0671935753014231	0.103168526009568	0.118607857549153
MORN1	0.0257817506625759	0.0117795458453002	0.0173095900589359	0.0177692553424788	0.0253180252733749
RER1	0.818997938362338	2.37953022741832	15.6157083712951	0.944100312178918	0.86145738108703
PEX10	0.111923824969904	0.103682113237207	0.0727565953157625	0.0872024195395956	0.117271425542472
PLCH2	0.0319690165957824	0.00315272131810385	0.0403357264100598	0.0326230845311973	0.0175402714590156
PANK4	0.0985559448420435	0.103512319156294	0.135040616394736	0.144191685453071	0.142441511875762
AL139246.5	0.0970132125296055	0.183525330723369	0.151313829448636	0.119898178034754	0.129938047337341
TNFRSF14-AS1	0.0294528459732349	0.0257525613062204	0.0292942645308764	0.0293603094134944	0.0325574735943724
TNFRSF14	2.91570911190337	3.70596731241971	2.06484316985418	4.38485405416383	3.40528440877609
AL139246.3	0.0117933621651301	0.00199779094314021	0.00217722886623216	0.013705696958472	0.00955397180127354
PRXL2B	0.0505054982927056	0.0382099518481933	0.0504769546235359	0.077848580153201	0.120384075536067
MMEL1	0.00199105657990619	0.0150865281411542	0.00403427701684194	0.013124392798236	0.0231380781664393
TTC34	0.00343909772892888	0.00290587773547667	0.00192108429373426	0.00243691963975331	0.00429928731057309
MEGF6	0.0783623890231497	0.0188255192293895	0.015964831053322	0.100371386023479	0.0911931863656086
AL513320.1	0.00271507715441754	0.00127132150927104	0.00140879514873846	0.00259707629301408	0.00191079436025471
TPRG1L	0.483084910621258	0.403839017002848	0.568814080227391	0.547373024481302	0.532840253011805
WRAP73	0.279369818581623	0.283027902479226	0.257854924734252	0.270209307037754	0.277035331307142
TP73	0.00393112072171005	0.000272426037700937	0.00279829922171459	7.01912511625427e-05	0
TP73-AS1	0.0631019012997703	0.0367941165765901	0.0286277385169883	0.051524897521472	0.073161853749785
SMIM1	0.0362111551666458	0.0219526580924196	0.0491553375153524	0.0279871273395347	0.0531118755338549
LRRC47	0.236311328514728	0.29279729242319	0.253316859970137	0.260507341253352	0.282720470051352
CEP104	0.244913998248409	0.190625593647218	0.201325254900601	0.201630677822111	0.189343305738788
DFFB	0.0516705494218958	0.0503740007669075	0.0606313524744198	0.0716302383032503	0.0903496712653537
C1orf174	0.272243544443963	0.302278705498792	0.420754526508768	0.266030624978996	0.284534600648097
LINC01134	0.0026640847163152	0.00335992113164489	0.0010245782899916	0.000210573753487628	0
AL365255.1	0.00103503842366467	0.000363234716934583	0.00653856010557748	0.00636762970485571	0.0201373102527168
NPHP4	0.0128513651975763	0.0337577863927936	0.017473742635492	0.0175389074380555	0.0204064629993977
KCNAB2	0.334521223207123	1.31306450277782	1.06980130667102	0.747813220045987	0.67976757827461
RPL22	5.98939616887812e+20	6.6040323241256e+20	9.38121538801174e+25	227026308150767136	5081745744225897472
RNF207	0.00235306686716187	0.023352357874752	0.00350394772669258	0.0129567019615545	0.000955397180127353
ICMT	0.0764417535983098	0.0955002397981759	0.119929884759681	0.0885719943216857	0.0614885417448739
GPR153	0.00217206172353403	0.00962826017171747	0.0210404755747002	0.0014740162744134	0.00191079436025471
ACOT7	0.028705860789942	0.0423298037036947	1.10847706623612	0.0644201269685161	0.0459330341161554
AL031848.2	0.0111713264668235	0.008238007355188	0.00548906816355131	0.00933543640461819	0.0161071756888246
ESPN	0.00139704871092034	0.000908086792336457	0.0181881731640487	0.0106997131259977	0.00286619154038206
TNFRSF25	0.043695715426818	0.0545822343554626	0.191674730026614	0.87153477688183	0.516091217791938
PLEKHG5	0.00307708744167321	0.00197220848806646	0.00601939745370067	0.032358759062548	0.0325574735943724
NOL9	0.27254567021931	0.208823633093378	0.268090607362482	0.352918913619721	0.394821098002829
ZBTB48	0.127990889427036	0.180875095747983	0.10631432774802	0.123561807241475	0.130081955437405
